id,name,SSN,date,loan_amt,amt_due,amt_paid,statecode,age,married,educ,W2inc_m1,W2inc_m2,taxdependent,creditscore,asset,debt,unemprate,avg_homeprice
202,Wendell Figueroa,297-338-318,08-03-2017,42400,56073,26363,04,42,0,2,44346.383,51321.086,0,672,32900,0,6.71,167778
203,Patti Mclaughlin,739-721-517,03-04-2017,43500,57528,35260,05,45,0,2,56880.887,56709.133,0,747,53100,128700,7.0599999,193826
204,Jeanne Quinn,744-561-302,04-03-2017,42000,55544,55544,03,35,1,2,33910.09,61392.113,2,618,46600,0,6.5599999,207586
205,April Wallace,616-680-572,07-05-2017,43100,56999,56999,03,40,1,2,52833.246,55634.68,2,671,57300,0,6.8299999,175152
206,Silvia Fitzgerald,424-095-492,08-07-2017,42300,55941,55941,01,38,1,2,39742.754,59463.063,2,624,43900,26700,6.3800001,190498
207,Rafael Dennis,397-521-281,07-06-2017,51900,68637,68637,04,31,1,2,90602.109,72506.367,1,783,54400,0,6.6500001,192787
208,Garry Martin,262-285-394,03-05-2017,43400,57396,57396,05,40,1,2,56225.465,51909.801,1,706,43300,0,7.1500001,185152
209,Kristopher Alexander,015-702-494,05-03-2017,42100,55677,55677,04,34,1,2,37198.125,41266.625,3,589,60700,0,6.1700001,206932
210,Sheila Cook,562-314-759,07-05-2017,60300,79746,31394,05,30,1,3,2177.9685,21572.475,0,541,37400,0,6.79,184876
211,Rose Sandoval,999-868-239,05-07-2017,42700,56470,15109,02,33,1,2,22837.686,16398.902,0,501,25500,900,6.02,163640
212,Jessie Greene,964-627-514,08-03-2017,44000,58189,58189,02,29,0,2,55570.355,20263.729,0,626,31900,202600,6.1100001,169309
213,Victor Holloway,910-336-446,05-06-2017,43700,57793,57793,02,45,0,2,64194.926,81593.383,0,758,57500,103500,6.02,190860
214,Dawn Franklin,924-547-945,02-04-2017,43100,56999,29462,04,32,0,2,50679.594,43837.039,0,617,29500,67500,7.21,177508
215,Ross Jordan,482-112-919,06-01-2017,49100,64934,16771,04,40,0,2,6499.439,20339.344,0,496,32400,0,6.96,181791
216,Norman Thornton,241-630-115,03-02-2017,42200,55809,28627,03,34,1,2,40235.773,43632.59,3,626,42600,91200,7.29,182366
217,Jaime Stanley,330-672-109,02-03-2017,42300,55941,19857,02,32,0,2,22813.752,13405.342,0,534,34100,69000,7.3499999,223180
218,Wilfred Hodges,727-769-384,08-05-2017,42200,55809,30609,01,36,0,2,38675.781,51262.668,0,628,58700,136300,6.5500002,182985
219,Nathan Berry,108-799-781,07-07-2017,42300,55941,20747,03,30,0,2,16931.031,40276.102,0,550,31500,0,6.54,198304
220,Derek Cummings,934-369-446,07-03-2017,48000,63479,63479,02,40,1,2,1179.7845,5789.0103,1,544,35300,54800,6.4400001,190311
221,Kim Kelly,515-724-069,06-05-2017,45300,59909,59909,02,31,0,2,59770.316,35048.273,0,661,57400,0,6.52,175441
222,Javier Keller,258-625-089,04-01-2017,43300,57264,57264,01,26,1,2,13005.552,26916.566,0,521,45000,178700,6.6799998,174118
223,Daisy Murray,320-051-535,03-03-2017,41600,55015,55015,01,34,0,3,23541.467,56967.301,0,586,43500,61100,7.3499999,185650
224,Archie Moody,532-794-009,08-04-2017,56300,74456,74456,02,31,0,2,97854.727,81627.133,0,801,43200,0,6.0900002,188500
225,Edith Riley,159-927-557,03-02-2017,42900,56735,56735,01,27,0,2,46405.109,16080.83,0,620,58600,46900,7.3699999,191624
226,Christy Rios,007-259-571,08-06-2017,40500,53561,18117,02,36,0,2,22519.406,28314.945,0,569,35500,0,5.98,186666
227,Karla Ryan,886-127-666,06-04-2017,42200,55809,55809,03,33,0,2,32803.809,26837.162,0,578,30700,92100,6.73,207077
228,Maxine Bennett,518-316-767,08-04-2017,42000,55544,21711,03,33,1,2,31398.178,26114.824,1,544,41100,118200,6.0799999,187441
229,David Swanson,354-278-686,07-06-2017,42800,56602,24711,05,34,1,3,28586.982,33290.129,1,568,37800,121200,6.5599999,190381
230,Virginia Love,958-769-463,04-02-2017,43000,56867,56867,03,28,0,2,49145.133,20294.494,0,605,50100,0,6.1199999,159859
231,Patsy Howard,454-433-572,06-03-2017,42200,55809,22804,02,38,0,2,21508.994,16156.655,0,575,55900,0,6.79,194565
232,Lorraine Brown,049-780-950,07-03-2017,42200,55809,18944,05,43,1,2,34160.77,42389.027,2,611,50500,0,6.27,205932
233,Alejandro Baldwin,308-955-956,05-06-2017,50100,66257,10208,04,42,1,1,4512.915,0,0,505,37500,119200,6.0900002,182819
234,Hubert Cole,671-939-677,03-02-2017,43100,56999,56999,05,33,1,2,51459.516,39175.172,2,659,44900,150500,7.3499999,200890
235,Rosemarie Phelps,182-374-999,05-06-2017,42100,55677,23180,01,38,0,2,31355.896,26639.387,0,593,45600,58500,6.25,198501
236,Josephine Mullins,403-686-314,08-04-2017,44400,58718,34125,04,41,1,2,60039.93,40596.676,1,684,46700,5600,6.2600002,191685
237,Johnathan Sherman,057-877-641,08-06-2017,42000,55544,55544,05,31,1,1,36960.895,40546.234,3,603,53800,200400,6.1700001,186793
238,Max Sparks,049-886-787,08-06-2017,45100,59644,41683,05,35,1,2,63556.43,60717.332,0,706,44600,170100,6.0100002,215838
239,Russell Gilbert,785-435-844,06-06-2017,66000,87284,87284,04,26,1,3,120105.33,88250.852,0,767,48900,12000,6.6999998,189007
240,Alicia Reynolds,855-231-224,03-03-2017,42100,55677,25651,02,44,1,2,33543.137,38419.309,1,657,46700,0,6.9200001,191925
241,Sheldon Bryant,476-949-287,06-01-2017,42000,55544,15733,02,44,0,2,29584.314,28418.355,0,597,36900,2200,7.1100001,216813
242,Billy Walsh,928-784-485,01-07-2017,42100,55677,55677,02,25,1,2,37659.434,25465.092,1,657,27900,0,7.3600001,191348
243,Elvira Lee,435-553-081,05-02-2017,41900,55412,19485,04,36,0,2,36097.777,773.47137,0,573,32000,0,6.1100001,305438
244,Clay Cobb,785-094-988,04-07-2017,42100,55677,55677,02,36,1,2,36231.402,40394.383,3,631,68500,124400,6.4000001,209423
245,Sophie Lopez,312-573-889,08-04-2017,42700,56470,23706,04,31,0,2,18130.857,34198.969,0,554,49300,0,6.4099998,198216
246,Tony Clark,179-256-170,06-04-2017,43600,57660,57660,04,37,1,2,54095.98,49603.199,1,664,37400,0,6.8099999,178552
247,Katherine Rose,275-962-016,03-07-2017,44100,58322,58322,01,35,1,2,52531.852,40613.254,1,690,42800,30700,7,187136
248,Sharon Harvey,757-546-833,03-02-2017,43400,57396,57396,03,32,0,2,53601.953,44777.387,0,601,35600,0,6.8000002,188327
249,Wesley Maldonado,390-481-890,01-04-2017,43300,57264,57264,02,33,1,2,18172.094,0,0,571,34200,24800,7.7399998,186852
250,Jaime Vasquez,219-360-649,03-03-2017,43800,57925,57925,04,20,0,2,61452.258,88610.367,0,601,46200,0,7.25,198968
