id,name,SSN,date,loan_amt,amt_due,statecode,age,married,educ,W2inc_m1,W2inc_m2,taxdependent,creditscore,asset,debt,unemprate,avg_homeprice
462,Damon Rose,552-640-736,04-01-2018,46500,61496,04,30,1,2,67716.703,41907.043,3,621,52900,0,6.25,184003
463,Sandy Hopkins,852-192-710,05-02-2018,42800,56602,01,33,1,2,45722.094,31623.143,1,644,33100,0,6.02,207016
464,Erin Snyder,374-210-977,05-05-2018,43700,57793,01,43,0,2,50952.559,58053.996,0,686,27100,0,6.02,174867
465,Lola Summers,394-691-381,06-04-2018,73900,97732,01,38,1,2,0,12863.965,1,475,24500,8100,6.75,186746
466,Terrance Schultz,117-459-197,05-01-2018,41200,54486,01,36,0,3,20942.541,7887.0049,0,566,33500,0,6.46,197958
467,Tami Mason,095-843-836,05-04-2018,43100,56999,04,32,1,2,25297.793,23058.453,0,593,48300,0,6.2600002,204932
468,June Wilkerson,048-257-973,07-06-2018,44600,58983,01,38,1,2,58376.762,40192.113,0,711,52900,0,6.5100002,169807
469,Eileen Farmer,175-383-611,04-06-2018,47400,62686,04,28,0,2,78505.703,77170.609,0,724,43500,0,6.4400001,205964
470,Joanne Ball,674-082-156,05-06-2018,43000,56867,04,38,0,3,50168.207,49384.121,0,650,46200,0,6.6399999,207228
471,Kelly Reed,518-664-802,08-03-2018,42000,55544,04,29,1,2,25986.682,26716.32,3,525,60300,2900,6.5300002,198170
472,Rafael Mcgee,725-613-579,08-03-2018,42700,56470,01,28,1,2,18450.893,40386.453,0,505,44300,78500,6.0599999,198441
473,Roger Richardson,604-258-470,07-04-2018,43000,56867,03,41,1,2,54976.059,57519.285,1,686,35400,62800,6.7199998,188937
474,Dewey Griffith,932-447-117,04-06-2018,42000,55544,02,39,1,2,25057.969,52430.898,3,606,64100,94000,6.5100002,199584
475,Melody Rodriguez,949-836-241,04-05-2018,44500,58851,05,31,0,2,60206.234,57927.566,0,649,48700,0,6.4400001,206044
476,Bobby Harmon,788-169-894,05-04-2018,42400,56073,04,38,1,2,24938.018,40735.754,2,577,43900,0,6.1399999,177949
477,Muriel Owen,390-511-953,02-01-2018,44700,59115,05,32,1,3,64357.098,80295.008,0,667,60900,205500,7.3499999,183458
478,Jimmie Hogan,802-017-377,08-05-2018,41100,54354,05,33,0,2,28511.217,30729.359,0,601,52700,72000,5.8899999,189966
479,Thomas Barton,886-110-874,07-03-2018,42000,55544,04,29,1,2,36335.941,32343.34,2,533,37500,0,6.71,205098
480,Carrie Jenkins,801-813-181,06-02-2018,42700,56470,04,25,0,2,47198.375,47324.395,0,561,46700,8400,6.3400002,189698
481,Kendra Pierce,479-549-362,06-03-2018,44200,58454,04,42,1,3,56649.309,49040.129,2,707,29800,0,6.4299998,190145
482,Blanche Diaz,430-720-891,07-01-2018,46300,61231,02,38,1,2,62317.961,66315.266,2,766,43900,0,6.8699999,177640
483,Wallace Drake,468-267-403,05-01-2018,43300,57264,01,30,1,2,48793.805,30073.377,0,621,35400,52800,6.2600002,201217
484,Cindy Austin,579-801-258,08-06-2018,47300,62554,02,40,1,2,74031.641,34930.703,0,780,55100,0,6.2399998,198703
485,Christopher Rice,613-941-062,06-04-2018,43000,56867,04,32,1,3,20498.051,13622.146,0,554,40300,0,6.5300002,181955
486,Joy Woods,927-908-437,05-05-2018,46300,61231,01,37,1,2,66525.07,78443.953,3,692,43900,105500,6.1799998,189718
487,Spencer Hayes,705-568-620,07-04-2018,42700,56470,05,33,0,2,25676.707,44568.402,0,545,28400,35400,6.6999998,187413
488,Johnnie Collins,647-945-012,03-04-2018,43100,56999,01,42,1,2,22836.957,40861.426,2,621,36000,0,7.4200001,176534
489,Harvey Peters,432-395-811,06-07-2018,44100,58322,02,24,1,1,57532.711,50531.371,0,638,54800,0,6.77,183890
490,Ginger Howard,470-641-755,04-07-2018,76500,101171,01,29,1,3,0,660.96454,2,479,22700,101700,6.8600001,188817
491,Owen Poole,229-188-323,04-06-2018,59500,78688,01,37,1,2,0,1134.0638,3,468,12200,74800,6.25,201801
492,Calvin Brooks,151-372-585,04-03-2018,43500,57528,04,30,0,2,55884,69309.445,0,602,37800,0,6.71,207249
493,Pete Carlson,679-915-338,05-02-2018,43100,56999,02,36,0,2,49435.832,67300.25,0,668,43600,113300,6.0100002,176452
494,Hector Ramirez,141-194-882,07-05-2018,42200,55809,01,39,0,2,37565.148,62032.75,0,656,43600,0,6.8099999,196803
495,Micheal Frazier,956-432-455,04-03-2018,42100,55677,03,31,0,2,23856.744,32912.512,0,547,59000,0,6.6700001,202451
496,Ronnie Newman,946-510-041,05-01-2018,42100,55677,03,28,1,2,22430.986,21895.828,1,468,36200,0,5.8499999,198704
497,Archie Daniel,353-026-314,05-05-2018,42500,56206,01,27,0,1,30369.615,8781.3076,0,566,48500,0,6.5300002,206832
498,Beulah Malone,493-257-537,04-01-2018,43700,57793,04,27,0,2,55783.438,48347.371,0,594,50100,0,6.3800001,193356
499,Joanna Douglas,965-708-121,05-03-2018,42700,56470,03,31,0,2,46442.59,49595.418,0,627,39800,0,6.0100002,186096
500,Joseph Estrada,044-343-630,08-06-2018,48600,64273,05,46,0,2,80162.656,83573.758,0,820,63200,0,5.96,159789
